script	language	order	category
01_run_deseq2_fraction_analysis.R	R	1	numbered thesis analysis pipeline
02_build_transcript_translation_index_matrix.R	R	2	numbered thesis analysis pipeline
03_build_gene_level_clean_matrices.R	R	3	numbered thesis analysis pipeline
04_qc_translation_index_plots.R	R	4	numbered thesis analysis pipeline
05_plot_global_translation_shift_qc.R	R	5	numbered thesis analysis pipeline
06_plot_translation_output_validation.R	R	6	numbered thesis analysis pipeline
07_plot_metric_independence_validation.R	R	7	numbered thesis analysis pipeline
08_plot_disome_sequence_validation.R	R	8	numbered thesis analysis pipeline
09_plot_han_2020_collision_validation.R	R	9	numbered thesis analysis pipeline
10_make_deseq2_venn_diagrams.R	R	10	numbered thesis analysis pipeline
11_make_deseq2_upset_plots.R	R	11	numbered thesis analysis pipeline
12_make_deseq2_common_uncommon_excel.R	R	12	numbered thesis analysis pipeline
13_classify_translation_states.R	R	13	numbered thesis analysis pipeline
14_classify_relaxed_translation_metrics.R	R	14	numbered thesis analysis pipeline
15_run_pathway_ora_plots.R	R	15	numbered thesis analysis pipeline
16_run_limma_translation_metric_analysis.R	R	16	numbered thesis analysis pipeline
17_run_limma_translation_metric_analysis_raw_pvalue.R	R	17	numbered thesis analysis pipeline
18_plot_limma_rawp_recurrent_genes.R	R	18	numbered thesis analysis pipeline
19_run_gprofiler_clean_pathway_plots.R	R	19	numbered thesis analysis pipeline
20_plot_limma_pattern_signature_heatmap.R	R	20	numbered thesis analysis pipeline
21_plot_interaction_metric_direction_upset.R	R	21	numbered thesis analysis pipeline
22_plot_full_cycle_genes_igv_style_coverage.R	R	22	numbered thesis analysis pipeline
23_check_full_cycle_genome_bam_coverage_numbers.R	R	23	numbered thesis analysis pipeline
24_plot_simplified_translation_category_panels.R	R	24	numbered thesis analysis pipeline
25_plot_LPXN_HNRNPD_igv_style_coverage.R	R	25	numbered thesis analysis pipeline
26_lpxn_isoform_usage_longread.R	R	26	numbered thesis analysis pipeline
27_report_lpxn_productive_translation_followups.R	R	27	numbered thesis analysis pipeline
28_gprofiler_productive_translation_38gene_set.R	R	28	numbered thesis analysis pipeline
30_test_hnrnpd_auf1_targets_in_limma_interaction.R	R	30	numbered thesis analysis pipeline
31_deseq_vs_limma_agreement_stats_plots.R	R	31	numbered thesis analysis pipeline
32_validate_scanning_score_start_codon_ssu.R	R	32	numbered thesis analysis pipeline
33_scanning_vs_ribosome_engagement_relationship.R	R	33	numbered thesis analysis pipeline
34_run_psite_fraction_limma_analysis.R	R	34	numbered thesis analysis pipeline
35_concordance_metric_limma_vs_psite_count_limma.R	R	35	numbered thesis analysis pipeline
36_true_interaction_concordance_metric_vs_psite_count_limma.R	R	36	numbered thesis analysis pipeline
37_make_psite_fraction_interaction_volcanoes.R	R	37	numbered thesis analysis pipeline
38_run_gprofiler_psite_fraction_limma_interaction.R	R	38	numbered thesis analysis pipeline
39_pathway_concordance_psite_limma_counts_vs_metric_and_dseq.R	R	39	numbered thesis analysis pipeline
40_check_RS_DS_limma_count_similarity.R	R	40	numbered thesis analysis pipeline
41_make_psite_limma_fraction_upset_plots.R	R	41	numbered thesis analysis pipeline
42_run_gprofiler_psite_fraction_limma_interaction_combined_direction.R	R	42	numbered thesis analysis pipeline
43_run_gprofiler_limma_translation_metrics_interaction_combined_direction.R	R	43	numbered thesis analysis pipeline
44_run_GO_BP_only_combined_ORA_nice_folders.R	R	44	numbered thesis analysis pipeline
45_run_GO_BP_only_baseline_combined_ORA_nice_folders.R	R	45	numbered thesis analysis pipeline
46_run_GO_BP_only_psite_fraction_limma_all_contrasts_combined.R	R	46	numbered thesis analysis pipeline
47_make_psite_fraction_baseline_volcanoes.R	R	47	numbered thesis analysis pipeline
48_cell_cycle_deep_dive_translation_limma.R	R	48	numbered thesis analysis pipeline
49_resistance_baseline_concordance_metric_vs_psite_count_limma.R	R	49	numbered thesis analysis pipeline
50_print_convergent_metric_psite_gene_and_pathway_audit.R	R	50	numbered thesis analysis pipeline
51_print_interaction_collision_down_mrna_transport_hit_genes.R	R	51	numbered thesis analysis pipeline
52_print_nanopore_gene_counts_for_conclusion_candidates.R	R	52	numbered thesis analysis pipeline
53_print_nanopore_isoform_usage_selected_splicing_genes.R	R	53	numbered thesis analysis pipeline
54_characterise_ensembl_isoforms_srsf2_tra2a_snrnp70.R	R	54	numbered thesis analysis pipeline
55_recompute_rsrate_stablemask_translation_scores.R	R	55	numbered thesis analysis pipeline
56_run_GO_BP_only_psite_fraction_limma_within_line_ORA.R	R	56	numbered thesis analysis pipeline
57_preview_ORA_large_pathway_labels.R	R	57	numbered thesis analysis pipeline
57_rs_ds_psite_concordance_baseline_rna_abundance.R	R	57	numbered thesis analysis pipeline
58_regenerate_combined_ORA_plots_large_labels.R	R	58	numbered thesis analysis pipeline
58_summarize_rs_ds_concordance_gene_classes.R	R	58	numbered thesis analysis pipeline
59_plot_six_gene_translation_metric_connected_dots.R	R	59	numbered thesis analysis pipeline
59_run_GO_BP_only_translation_metric_within_line_ORA.R	R	59	numbered thesis analysis pipeline
60_print_cross_framework_synthesis_no_outputs.R	R	60	numbered thesis analysis pipeline
61_plot_robust_cross_framework_heatmaps.R	R	61	numbered thesis analysis pipeline
62_plot_figure_A_metric_scores_and_B_psite_counts.R	R	62	numbered thesis analysis pipeline
63_plot_six_gene_resistant_baseline_metric_delta_bars.R	R	63	numbered thesis analysis pipeline
64_plot_three_gene_precomputed_metric_delta_bars.R	R	64	numbered thesis analysis pipeline
check_TRA2A_FDR_status.R	R		TRA2A and isoform follow-up analysis
check_TRA2B_tcpseq_metrics.R	R		audit and diagnostic helper
check_longread_gene_coverage.R	R		audit and diagnostic helper
compare_TRA2A_ensembl_isoform_proteins.R	R		TRA2A and isoform follow-up analysis
count_limma_interaction_translation_patterns.R	R		audit and diagnostic helper
count_simplified_interaction_translation_categories.R	R		audit and diagnostic helper
diagnose_lncRNA_dominance.R	R		audit and diagnostic helper
inspect_sudhl_tra2a_longread.R	R		TRA2A and isoform follow-up analysis
integrate_TRA2A_targets_isoform_switch_TCPseq.R	R		TRA2A and isoform follow-up analysis
make_translation_metric_schematic.R	R		supporting figure or validation script
plot_TRA2A_ensembl_protein_isoform_comparison.R	R		TRA2A and isoform follow-up analysis
plot_TRA2A_locus_ribosome_coverage_by_fraction.R	R		TRA2A and isoform follow-up analysis
regenerate_end_repair_biotype_plot.R	R		supporting figure or validation script
regenerate_end_repair_biotype_plot_subsample_n20.R	R		supporting figure or validation script
step1_tra2a_isoform_usage_longread.R	R		TRA2A and isoform follow-up analysis
step2_tra2a_targets_isoform_usage_sudhl8.R	R		TRA2A and isoform follow-up analysis
step3_genomewide_isoform_usage_screen_sudhl8.R	R		supporting figure or validation script
step3b_tra2a_cds_motif_enrichment_sudhl8.R	R		TRA2A and isoform follow-up analysis
step3c_tra2a_intronic_flank_motif_enrichment_sudhl8.R	R		TRA2A and isoform follow-up analysis
29_hnrnpd_auf1_target_interaction_test.py	py	29	numbered thesis analysis pipeline
